© 2000-2021 QIAGEN. All rights reserved.

Analysis Details for My Projects->Adult_WM_vs_GM->WM_vs_GM_A2B5_Final - 2020-12-23 05:29 PM
Workspace	My Projects
Project	Adult_WM_vs_GM
Analysis	WM_vs_GM_A2B5_Final - 2020-12-23 05:29 PM
Date	Wed Dec 23 14:29:42 PST 2020
Analysis ID	24400012

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(tissues/cell lines = Nervous System not otherwise specified OR Purkinje cells OR Striatum OR Other Stem cells OR Caudate Nucleus OR SF-539 OR Cerebral Cortex OR Stem cells not otherwise specified OR CNS Cell Lines not otherwise specified OR Dorsal Root Ganglion OR Ventricular Zone OR Hypothalamus OR SNB-75 OR Cerebellum OR Embryonic stem cells OR Granule Cell Layer OR Amygdala OR Spinal Cord OR SF-295 OR Subventricular Zone OR Granule cells OR Parietal Lobe OR Other Neurons OR Gray Matter OR U251 OR U87MG OR Trigeminal Ganglion OR Hippocampus OR Other Nervous System OR Brain OR Mesenchymal stem cells OR Thalamus OR Other CNS Cell Lines OR Substantia Nigra OR Nucleus Accumbens OR White Matter OR Medulla Oblongata OR Putamen OR Pyramidal neurons OR Sciatic Nerve OR Corpus Callosum OR SF-268 OR Choroid Plexus OR Cortical neurons OR Astrocytes OR Olfactory Bulb OR Cerebral Ventricles OR Neurons not otherwise specified OR Pituitary Gland OR Brainstem) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Adult_WM_vs_GM->WM_vs_GM_A2B5_Final - 2020-12-23 05:29 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Adipogenesis pathway	-0E00		7.69E-03	CEBPB	
Aldosterone Signaling in Epithelial Cells	-0E00		1.43E-02	PDIA3,PIK3C2B	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00		1.59E-02	IL6	
Androgen Signaling	-0E00		1.53E-02	EP300,JUN	
Basal Cell Carcinoma Signaling	-0E00		1.49E-02	LEF1	
CCR5 Signaling in Macrophages	-0E00		1.18E-02	JUN	
Cellular Effects of Sildenafil (Viagra)	-0E00		1.75E-02	MYLK,PDIA3	
Cyclins and Cell Cycle Regulation	-0E00		1.27E-02	CCNA2	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	-0E00		1.61E-02	MTMR9,TNS3	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	-0E00		1.61E-02	MTMR9,TNS3	
D-myo-inositol-5-phosphate Metabolism	-0E00		1.46E-02	MTMR9,TNS3	
Dopamine-DARPP32 Feedback in cAMP Signaling	-0E00		1.32E-02	ATF1,PDIA3	
G Beta Gamma Signaling	-0E00		8.55E-03	RRAS2	
G-Protein Coupled Receptor Signaling	-0E00		1.89E-02	CNR1,GPR17,PIK3C2B,RRAS2,STAT3	
GNRH Signaling	-0E00		1.81E-02	JUN,PAK2,RRAS2	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	-0E00		1.52E-02	PDIA3	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	-0E00		9.90E-03	PDIA3	
Gap Junction Signaling	-0E00		1.68E-02	PDIA3,PIK3C2B,RRAS2	
Glioma Signaling	-0E00		1.83E-02	PIK3C2B,RRAS2	
Gustation Pathway	-0E00		8.33E-03	PANX1	
Gαq Signaling	-0E00		1.34E-02	NFATC3,PIK3C2B	
Gαs Signaling	-0E00		9.52E-03	CNR1	
Inhibition of ARE-Mediated mRNA Degradation Pathway	-0E00		1.75E-02	TIA1,ZFP36L2	
Melatonin Signaling	-0E00		1.49E-02	PDIA3	
Mitochondrial Dysfunction	-0E00		1.86E-02	MT-CO2,MT-ND4,NDUFV2	
Mitotic Roles of Polo-Like Kinase	-0E00		1.64E-02	SLK	
NGF Signaling	-0E00		1.82E-02	PIK3C2B,RRAS2	
Netrin Signaling	-0E00		1.64E-02	NFATC3	
Neuroprotective Role of THOP1 in Alzheimer's Disease	-0E00		1.27E-02	HLA-E	
